sequenceId,entityId,ParameterKey,ParameterValue
1_18A;2_18A;3_18A;4_18A;5_18A;6_18A,4,name,OliverM
1_18A;2_18A;3_18A;4_18A;5_18A;6_18A,4,webpa,1.0
1_18A;2_18A;3_18A;4_18A;5_18A;6_18A,4,Sex,M
1_18A;2_18A;3_18A;4_18A;5_18A;6_18A,4,Nationality,United Kingdom
1_18A;2_18A;3_18A;4_18A;5_18A;6_18A,0,name,AlexanderG
1_18A;2_18A;3_18A;4_18A;5_18A;6_18A,0,webpa,1.0
1_18A;2_18A;3_18A;4_18A;5_18A;6_18A,0,Sex,M
1_18A;2_18A;3_18A;4_18A;5_18A;6_18A,0,Nationality,United Kingdom
1_18A;2_18A;3_18A;4_18A;5_18A;6_18A,1,name,GregoryP
1_18A;2_18A;3_18A;4_18A;5_18A;6_18A,1,webpa,1.0
1_18A;2_18A;3_18A;4_18A;5_18A;6_18A,1,Sex,M
1_18A;2_18A;3_18A;4_18A;5_18A;6_18A,1,Nationality,United Kingdom
1_18A;2_18A;3_18A;4_18A;5_18A;6_18A,2,name,JackB
1_18A;2_18A;3_18A;4_18A;5_18A;6_18A,2,webpa,1.0
1_18A;2_18A;3_18A;4_18A;5_18A;6_18A,2,Sex,M
1_18A;2_18A;3_18A;4_18A;5_18A;6_18A,2,Nationality,United Kingdom
1_18A;2_18A;3_18A;4_18A;5_18A;6_18A,5,name,YuchengH
1_18A;2_18A;3_18A;4_18A;5_18A;6_18A,5,webpa,1.0
1_18A;2_18A;3_18A;4_18A;5_18A;6_18A,5,Sex,M
1_18A;2_18A;3_18A;4_18A;5_18A;6_18A,5,Nationality,China
1_18A;2_18A;3_18A;4_18A;5_18A;6_18A,3,name,Kah_YengL
1_18A;2_18A;3_18A;4_18A;5_18A;6_18A,3,webpa,1.0
1_18A;2_18A;3_18A;4_18A;5_18A;6_18A,3,Sex,F
1_18A;2_18A;3_18A;4_18A;5_18A;6_18A,3,Nationality,Malaysia
1_18B;2_18B;3_18B;5_18B;6_18B,6,name,AnnabelleP
1_18B;2_18B;3_18B;5_18B;6_18B,6,webpa,1.01
1_18B;2_18B;3_18B;5_18B;6_18B,6,Sex,F
1_18B;2_18B;3_18B;5_18B;6_18B,6,Nationality,United Kingdom
1_18B;2_18B;3_18B;4_18B;5_18B;6_18B,7,name,DamianB
1_18B;2_18B;3_18B;4_18B;5_18B;6_18B,7,webpa,1.08
1_18B;2_18B;3_18B;4_18B;5_18B;6_18B,7,Sex,M
1_18B;2_18B;3_18B;4_18B;5_18B;6_18B,7,Nationality,Poland
1_18B;2_18B;3_18B;4_18B;5_18B;6_18B,11,name,ZhongyiX
1_18B;2_18B;3_18B;4_18B;5_18B;6_18B,11,webpa,1.04
1_18B;2_18B;3_18B;4_18B;5_18B;6_18B,11,Sex,M
1_18B;2_18B;3_18B;4_18B;5_18B;6_18B,11,Nationality,China
1_18B;2_18B;4_18B;6_18B,8,name,SamuelE
1_18B;2_18B;4_18B;6_18B,8,webpa,0.93999
1_18B;2_18B;4_18B;6_18B,8,Sex,M
1_18B;2_18B;4_18B;6_18B,8,Nationality,United Kingdom
1_18B;2_18B;3_18B;4_18B;5_18B;6_18B,10,name,WilliamV
1_18B;2_18B;3_18B;4_18B;5_18B;6_18B,10,webpa,0.95
1_18B;2_18B;3_18B;4_18B;5_18B;6_18B,10,Sex,M
1_18B;2_18B;3_18B;4_18B;5_18B;6_18B,10,Nationality,United Kingdom
1_18B;2_18B;3_18B;4_18B;5_18B;6_18B,9,name,UddhavA
1_18B;2_18B;3_18B;4_18B;5_18B;6_18B,9,webpa,0.98
1_18B;2_18B;3_18B;4_18B;5_18B;6_18B,9,Sex,M
1_18B;2_18B;3_18B;4_18B;5_18B;6_18B,9,Nationality,India
1_18C;2_18C;3_18C;4_18C;5_18C;6_18C,16,name,SophieW
1_18C;2_18C;3_18C;4_18C;5_18C;6_18C,16,webpa,1.15
1_18C;2_18C;3_18C;4_18C;5_18C;6_18C,16,Sex,F
1_18C;2_18C;3_18C;4_18C;5_18C;6_18C,16,Nationality,United Kingdom
1_18C;2_18C;3_18C;4_18C,14,name,LenaldP
1_18C;2_18C;3_18C;4_18C,14,webpa,1.04
1_18C;2_18C;3_18C;4_18C,14,Sex,M
1_18C;2_18C;3_18C;4_18C,14,Nationality,United Kingdom
1_18C;2_18C;3_18C;4_18C;5_18C;6_18C,12,name,BradleyR
1_18C;2_18C;3_18C;4_18C;5_18C;6_18C,12,webpa,1.15
1_18C;2_18C;3_18C;4_18C;5_18C;6_18C,12,Sex,M
1_18C;2_18C;3_18C;4_18C;5_18C;6_18C,12,Nationality,United Kingdom
1_18C;2_18C;3_18C;4_18C;5_18C;6_18C,15,name,OmarK
1_18C;2_18C;3_18C;4_18C;5_18C;6_18C,15,webpa,1.01
1_18C;2_18C;3_18C;4_18C;5_18C;6_18C,15,Sex,M
1_18C;2_18C;3_18C;4_18C;5_18C;6_18C,15,Nationality,Egypt
1_18C;2_18C;3_18C;4_18C;5_18C;6_18C,17,name,ZimingW
1_18C;2_18C;3_18C;4_18C;5_18C;6_18C,17,webpa,0.91999
1_18C;2_18C;3_18C;4_18C;5_18C;6_18C,17,Sex,M
1_18C;2_18C;3_18C;4_18C;5_18C;6_18C,17,Nationality,China
1_18C;2_18C;3_18C;4_18C;5_18C;6_18C,13,name,LewisJ
1_18C;2_18C;3_18C;4_18C;5_18C;6_18C,13,webpa,0.74
1_18C;2_18C;3_18C;4_18C;5_18C;6_18C,13,Sex,M
1_18C;2_18C;3_18C;4_18C;5_18C;6_18C,13,Nationality,United Kingdom
1_18D;2_18D;3_18D;4_18D;5_18D;6_18D,19,name,JohnA
1_18D;2_18D;3_18D;4_18D;5_18D;6_18D,19,webpa,1.09
1_18D;2_18D;3_18D;4_18D;5_18D;6_18D,19,Sex,M
1_18D;2_18D;3_18D;4_18D;5_18D;6_18D,19,Nationality,Egypt
1_18D;2_18D;3_18D;4_18D;5_18D;6_18D,22,name,PaulinaA
1_18D;2_18D;3_18D;4_18D;5_18D;6_18D,22,webpa,1.06999
1_18D;2_18D;3_18D;4_18D;5_18D;6_18D,22,Sex,F
1_18D;2_18D;3_18D;4_18D;5_18D;6_18D,22,Nationality,Lithuania
1_18D;2_18D;3_18D;4_18D;5_18D;6_18D,20,name,LeonardoM
1_18D;2_18D;3_18D;4_18D;5_18D;6_18D,20,webpa,1.0
1_18D;2_18D;3_18D;4_18D;5_18D;6_18D,20,Sex,M
1_18D;2_18D;3_18D;4_18D;5_18D;6_18D,20,Nationality,"Italy {Includes Sardinia, Sicily}"
1_18D;2_18D;3_18D;4_18D;5_18D;6_18D,21,name,MatthewT
1_18D;2_18D;3_18D;4_18D;5_18D;6_18D,21,webpa,1.05
1_18D;2_18D;3_18D;4_18D;5_18D;6_18D,21,Sex,M
1_18D;2_18D;3_18D;4_18D;5_18D;6_18D,21,Nationality,United Kingdom
1_18D;2_18D;3_18D;4_18D;5_18D;6_18D,23,name,YiweiQ
1_18D;2_18D;3_18D;4_18D;5_18D;6_18D,23,webpa,0.92999
1_18D;2_18D;3_18D;4_18D;5_18D;6_18D,23,Sex,M
1_18D;2_18D;3_18D;4_18D;5_18D;6_18D,23,Nationality,China
1_18D;2_18D;3_18D;4_18D;5_18D;6_18D,18,name,AndreiC
1_18D;2_18D;3_18D;4_18D;5_18D;6_18D,18,webpa,0.86
1_18D;2_18D;3_18D;4_18D;5_18D;6_18D,18,Sex,M
1_18D;2_18D;3_18D;4_18D;5_18D;6_18D,18,Nationality,Romania
1_18E;2_18E;3_18E;4_18E;5_18E;6_18E,24,name,AnamariaS
1_18E;2_18E;3_18E;4_18E;5_18E;6_18E,24,webpa,1.2
1_18E;2_18E;3_18E;4_18E;5_18E;6_18E,24,Sex,F
1_18E;2_18E;3_18E;4_18E;5_18E;6_18E,24,Nationality,Romania
1_18E;2_18E;3_18E;4_18E;5_18E;6_18E,29,name,JohnT
1_18E;2_18E;3_18E;4_18E;5_18E;6_18E,29,webpa,1.22
1_18E;2_18E;3_18E;4_18E;5_18E;6_18E,29,Sex,M
1_18E;2_18E;3_18E;4_18E;5_18E;6_18E,29,Nationality,United Kingdom
1_18E;2_18E;3_18E;4_18E;5_18E;6_18E,28,name,JamesP
1_18E;2_18E;3_18E;4_18E;5_18E;6_18E,28,webpa,1.22
