sequenceId,entityId,ParameterKey,ParameterValue
1_18A;2_18A;3_18A;4_18A;5_18A,5,name,PaulinaA
1_18A;2_18A;3_18A;4_18A;5_18A,5,webpawed,0.01
1_18A;2_18A;3_18A;4_18A;5_18A,5,webpafri,0.0101
1_18A;2_18A;3_18A;4_18A;5_18A,5,Sex,Female
1_18A;2_18A;3_18A;4_18A;5_18A,5,Nationality,Lithuania
1_18A;2_18A;3_18A;4_18A;5_18A,5,leader.1,leader
1_18A;2_18A;3_18A;4_18A;5_18A,5,leader.2,not leader
1_18A;2_18A;3_18A;4_18A;5_18A,5,leader.3,not leader
1_18A;2_18A;3_18A;4_18A;5_18A,5,leader.4,not leader
1_18A;2_18A;3_18A;4_18A;5_18A,5,leader.5,not leader
1_18A;2_18A;3_18A;4_18A,1,name,BenM
1_18A;2_18A;3_18A;4_18A,1,webpawed,0.01
1_18A;2_18A;3_18A;4_18A,1,webpafri,0.0098
1_18A;2_18A;3_18A;4_18A,1,Sex,Male
1_18A;2_18A;3_18A;4_18A,1,Nationality,United Kingdom
1_18A;2_18A;3_18A;4_18A,1,leader.1,not leader
1_18A;2_18A;3_18A;4_18A,1,leader.2,leader
1_18A;2_18A;3_18A;4_18A,1,leader.3,not leader
1_18A;2_18A;3_18A;4_18A,1,leader.4,not leader
1_18A;2_18A;3_18A;4_18A,1,leader.5,not leader
1_18A;2_18A;3_18A;4_18A;5_18A,2,name,JamesT
1_18A;2_18A;3_18A;4_18A;5_18A,2,webpawed,0.01
1_18A;2_18A;3_18A;4_18A;5_18A,2,webpafri,0.01
1_18A;2_18A;3_18A;4_18A;5_18A,2,Sex,Male
1_18A;2_18A;3_18A;4_18A;5_18A,2,Nationality,United Kingdom
1_18A;2_18A;3_18A;4_18A;5_18A,2,leader.1,not leader
1_18A;2_18A;3_18A;4_18A;5_18A,2,leader.2,not leader
1_18A;2_18A;3_18A;4_18A;5_18A,2,leader.3,leader
1_18A;2_18A;3_18A;4_18A;5_18A,2,leader.4,not leader
1_18A;2_18A;3_18A;4_18A;5_18A,2,leader.5,not leader
1_18A;2_18A;3_18A;4_18A;5_18A,0,name,AneneO
1_18A;2_18A;3_18A;4_18A;5_18A,0,webpawed,0.01
1_18A;2_18A;3_18A;4_18A;5_18A,0,webpafri,0.0101
1_18A;2_18A;3_18A;4_18A;5_18A,0,Sex,Male
1_18A;2_18A;3_18A;4_18A;5_18A,0,Nationality,Nigeria
1_18A;2_18A;3_18A;4_18A;5_18A,0,leader.1,not leader
1_18A;2_18A;3_18A;4_18A;5_18A,0,leader.2,not leader
1_18A;2_18A;3_18A;4_18A;5_18A,0,leader.3,not leader
1_18A;2_18A;3_18A;4_18A;5_18A,0,leader.4,not leader
1_18A;2_18A;3_18A;4_18A;5_18A,0,leader.5,leader
1_18A;2_18A;3_18A;4_18A;5_18A,3,name,MikayahK
1_18A;2_18A;3_18A;4_18A;5_18A,3,webpawed,0.01
1_18A;2_18A;3_18A;4_18A;5_18A,3,webpafri,0.01
1_18A;2_18A;3_18A;4_18A;5_18A,3,Sex,Male
1_18A;2_18A;3_18A;4_18A;5_18A,3,Nationality,United Kingdom
1_18A;2_18A;3_18A;4_18A;5_18A,3,leader.1,not leader
1_18A;2_18A;3_18A;4_18A;5_18A,3,leader.2,not leader
1_18A;2_18A;3_18A;4_18A;5_18A,3,leader.3,leader
1_18A;2_18A;3_18A;4_18A;5_18A,3,leader.4,not leader
1_18A;2_18A;3_18A;4_18A;5_18A,3,leader.5,not leader
1_18A;2_18A;3_18A;4_18A;5_18A,4,name,MichelleN
1_18A;2_18A;3_18A;4_18A;5_18A,4,webpawed,0.01
1_18A;2_18A;3_18A;4_18A;5_18A,4,webpafri,0.01
1_18A;2_18A;3_18A;4_18A;5_18A,4,Sex,Female
1_18A;2_18A;3_18A;4_18A;5_18A,4,Nationality,Kenya
1_18A;2_18A;3_18A;4_18A;5_18A,4,leader.1,not leader
1_18A;2_18A;3_18A;4_18A;5_18A,4,leader.2,not leader
1_18A;2_18A;3_18A;4_18A;5_18A,4,leader.3,not leader
1_18A;2_18A;3_18A;4_18A;5_18A,4,leader.4,leader
1_18A;2_18A;3_18A;4_18A;5_18A,4,leader.5,not leader
1_18B;2_18B;3_18B;4_18B;5_18B,6,name,BenA
1_18B;2_18B;3_18B;4_18B;5_18B,6,webpawed,0.0101
1_18B;2_18B;3_18B;4_18B;5_18B,6,webpafri,0.01
1_18B;2_18B;3_18B;4_18B;5_18B,6,Sex,Male
1_18B;2_18B;3_18B;4_18B;5_18B,6,Nationality,United Kingdom
1_18B;2_18B;3_18B;4_18B;5_18B,6,leader.1,not leader
1_18B;2_18B;3_18B;4_18B;5_18B,6,leader.2,leader
1_18B;2_18B;3_18B;4_18B;5_18B,6,leader.3,not leader
1_18B;2_18B;3_18B;4_18B;5_18B,6,leader.4,not leader
1_18B;2_18B;3_18B;4_18B;5_18B,6,leader.5,not leader
1_18B;2_18B;3_18B;4_18B;5_18B,8,name,JonathanB
1_18B;2_18B;3_18B;4_18B;5_18B,8,webpawed,0.01
1_18B;2_18B;3_18B;4_18B;5_18B,8,webpafri,0.0101
1_18B;2_18B;3_18B;4_18B;5_18B,8,Sex,Male
1_18B;2_18B;3_18B;4_18B;5_18B,8,Nationality,United Kingdom
1_18B;2_18B;3_18B;4_18B;5_18B,8,leader.1,leader
1_18B;2_18B;3_18B;4_18B;5_18B,8,leader.2,not leader
1_18B;2_18B;3_18B;4_18B;5_18B,8,leader.3,not leader
1_18B;2_18B;3_18B;4_18B;5_18B,8,leader.4,not leader
1_18B;2_18B;3_18B;4_18B;5_18B,8,leader.5,not leader
1_18B;2_18B;3_18B;4_18B;5_18B,10,name,SamuelC
1_18B;2_18B;3_18B;4_18B;5_18B,10,webpawed,0.01
1_18B;2_18B;3_18B;4_18B;5_18B,10,webpafri,0.01
1_18B;2_18B;3_18B;4_18B;5_18B,10,Sex,Male
1_18B;2_18B;3_18B;4_18B;5_18B,10,Nationality,United Kingdom
1_18B;2_18B;3_18B;4_18B;5_18B,10,leader.1,not leader
1_18B;2_18B;3_18B;4_18B;5_18B,10,leader.2,not leader
1_18B;2_18B;3_18B;4_18B;5_18B,10,leader.3,not leader
1_18B;2_18B;3_18B;4_18B;5_18B,10,leader.4,not leader
1_18B;2_18B;3_18B;4_18B;5_18B,10,leader.5,leader
