sequenceId,entityId,ParameterKey,ParameterValue
1_01;2_01;3_01;4_01;5_01;6_01;7_01;8_01;9_01;10_01;11_01;12_01;13_01;14_01,1,name,CIA17ONA
1_01;2_01;3_01;4_01;5_01;6_01;7_01;8_01;9_01;10_01;11_01;12_01;13_01;14_01,1,webPA_final,1.04
1_01;2_01;3_01;4_01;5_01;6_01;7_01;8_01;9_01;10_01;11_01;12_01;13_01;14_01,1,Sex,female
1_01;2_01;3_01;4_01;5_01;6_01;7_01;8_01;9_01;10_01;11_01;12_01;13_01;14_01,1,NationalityNo,UNITED ARAB EMIRATES
1_01;2_01;3_01;5_01;6_01;7_01;8_01;9_01;10_01;11_01;12_01;13_01;14_01,3,name,CIB17AW
1_01;2_01;3_01;5_01;6_01;7_01;8_01;9_01;10_01;11_01;12_01;13_01;14_01,3,webPA_final,0.96
1_01;2_01;3_01;5_01;6_01;7_01;8_01;9_01;10_01;11_01;12_01;13_01;14_01,3,Sex,male
1_01;2_01;3_01;5_01;6_01;7_01;8_01;9_01;10_01;11_01;12_01;13_01;14_01,3,NationalityNo,UNITED KINGDOM
1_01;2_01;3_01;4_01;5_01;6_01;7_01;8_01;9_01;10_01;11_01;12_01;13_01;14_01,4,name,CIB17MY
1_01;2_01;3_01;4_01;5_01;6_01;7_01;8_01;9_01;10_01;11_01;12_01;13_01;14_01,4,webPA_final,1.06
1_01;2_01;3_01;4_01;5_01;6_01;7_01;8_01;9_01;10_01;11_01;12_01;13_01;14_01,4,Sex,female
1_01;2_01;3_01;4_01;5_01;6_01;7_01;8_01;9_01;10_01;11_01;12_01;13_01;14_01,4,NationalityNo,UNITED KINGDOM
1_01;2_01;3_01;4_01;5_01;6_01;7_01;8_01;9_01;10_01;11_01;12_01;13_01;14_01,0,name,CIA17HTT
1_01;2_01;3_01;4_01;5_01;6_01;7_01;8_01;9_01;10_01;11_01;12_01;13_01;14_01,0,webPA_final,0.97
1_01;2_01;3_01;4_01;5_01;6_01;7_01;8_01;9_01;10_01;11_01;12_01;13_01;14_01,0,Sex,male
1_01;2_01;3_01;4_01;5_01;6_01;7_01;8_01;9_01;10_01;11_01;12_01;13_01;14_01,0,NationalityNo,NIGERIA
1_01;2_01;3_01;4_01;5_01;6_01;7_01;8_01;9_01;10_01;11_01;13_01;14_01,5,name,CIB17YH
1_01;2_01;3_01;4_01;5_01;6_01;7_01;8_01;9_01;10_01;11_01;13_01;14_01,5,webPA_final,1.01
1_01;2_01;3_01;4_01;5_01;6_01;7_01;8_01;9_01;10_01;11_01;13_01;14_01,5,Sex,male
1_01;2_01;3_01;4_01;5_01;6_01;7_01;8_01;9_01;10_01;11_01;13_01;14_01,5,NationalityNo,CHINA
1_01;2_01;3_01;4_01;5_01;6_01;7_01;8_01;11_01;12_01;13_01;14_01,2,name,CIA17PA
1_01;2_01;3_01;4_01;5_01;6_01;7_01;8_01;11_01;12_01;13_01;14_01,2,webPA_final,0.97
1_01;2_01;3_01;4_01;5_01;6_01;7_01;8_01;11_01;12_01;13_01;14_01,2,Sex,male
1_01;2_01;3_01;4_01;5_01;6_01;7_01;8_01;11_01;12_01;13_01;14_01,2,NationalityNo,UNITED KINGDOM
1_02;2_02;3_02;4_02;5_02;6_02;7_02;8_02;9_02;10_02;11_02;12_02,9,name,CIA17PNS
1_02;2_02;3_02;4_02;5_02;6_02;7_02;8_02;9_02;10_02;11_02;12_02,9,webPA_final,0.99
1_02;2_02;3_02;4_02;5_02;6_02;7_02;8_02;9_02;10_02;11_02;12_02,9,Sex,male
1_02;2_02;3_02;4_02;5_02;6_02;7_02;8_02;9_02;10_02;11_02;12_02,9,NationalityNo,UNITED KINGDOM
1_02;2_02;3_02;4_02;5_02;6_02;7_02;8_02;10_02;11_02;12_02;13_02,11,name,CIB16RD
1_02;2_02;3_02;4_02;5_02;6_02;7_02;8_02;10_02;11_02;12_02;13_02,11,webPA_final,1.02
1_02;2_02;3_02;4_02;5_02;6_02;7_02;8_02;10_02;11_02;12_02;13_02,11,Sex,male
1_02;2_02;3_02;4_02;5_02;6_02;7_02;8_02;10_02;11_02;12_02;13_02,11,NationalityNo,THAILAND
1_02;2_02;3_02;4_02;5_02;6_02;7_02;8_02;9_02;10_02;11_02;12_02;13_02,10,name,CIA17SB
1_02;2_02;3_02;4_02;5_02;6_02;7_02;8_02;9_02;10_02;11_02;12_02;13_02,10,webPA_final,1.02
1_02;2_02;3_02;4_02;5_02;6_02;7_02;8_02;9_02;10_02;11_02;12_02;13_02,10,Sex,male
1_02;2_02;3_02;4_02;5_02;6_02;7_02;8_02;9_02;10_02;11_02;12_02;13_02,10,NationalityNo,UNITED KINGDOM
1_02;2_02;3_02;4_02;5_02;6_02;7_02;8_02;10_02;11_02;13_02,6,name,CIA16NYC
1_02;2_02;3_02;4_02;5_02;6_02;7_02;8_02;10_02;11_02;13_02,6,webPA_final,0.98
1_02;2_02;3_02;4_02;5_02;6_02;7_02;8_02;10_02;11_02;13_02,6,Sex,female
1_02;2_02;3_02;4_02;5_02;6_02;7_02;8_02;10_02;11_02;13_02,6,NationalityNo,HONG KONG
1_02;2_02;3_02;5_02;6_02;7_02;8_02;9_02;10_02;11_02;12_02;13_02,7,name,CIA16TH
1_02;2_02;3_02;5_02;6_02;7_02;8_02;9_02;10_02;11_02;12_02;13_02,7,webPA_final,1.01
1_02;2_02;3_02;5_02;6_02;7_02;8_02;9_02;10_02;11_02;12_02;13_02,7,Sex,male
1_02;2_02;3_02;5_02;6_02;7_02;8_02;9_02;10_02;11_02;12_02;13_02,7,NationalityNo,CHINA
1_03;2_03;3_03;4_03;5_03;6_03;7_03;8_03;9_03;10_03;11_03;12_03;13_03;14_03,13,name,CIA17GJA
1_03;2_03;3_03;4_03;5_03;6_03;7_03;8_03;9_03;10_03;11_03;12_03;13_03;14_03,13,webPA_final,1.03
1_03;2_03;3_03;4_03;5_03;6_03;7_03;8_03;9_03;10_03;11_03;12_03;13_03;14_03,13,Sex,female
1_03;2_03;3_03;4_03;5_03;6_03;7_03;8_03;9_03;10_03;11_03;12_03;13_03;14_03,13,NationalityNo,UNITED KINGDOM
